"brand","catalog_number","volume_ml","diameter_mm","height_mm","pack_size","price_usd","unit_price_usd","url"
"Sigma-Aldrich","HS4323K","1.5","13.4","","500","21.2","0.0424","https://www.sigmaaldrich.com/US/en/product/sigma/hs4323k"
"Sigma-Aldrich","EP022363514","1.5","11","38","500","71.6","0.1432","https://www.sigmaaldrich.com/US/en/product/sigma/EP022363514"
"Sigma-Aldrich","HS4325","1.5","12.9","","1000","36.0","0.036","https://www.sigmaaldrich.com/US/en/product/sigma/hs4325"
"Sigma-Aldrich","BR780420","1.5","","41","500","41.4","0.0828","https://www.sigmaaldrich.com/US/en/product/aldrich/br780420"
"Sigma-Aldrich","HS4323","1.5","12.9","","500","19.0","0.038","https://www.sigmaaldrich.com/US/en/product/sigma/hs4323"
"Sigma-Aldrich","Z688312","1.5","","","500","41.4","0.0828","https://www.sigmaaldrich.com/US/en/product/sigma/z688312"
"Sigma-Aldrich","MTCC2000Y","1.5","","","500","19.7","0.0394","https://www.sigmaaldrich.com/US/en/product/sigma/axyapmct15mlc"
"Fisher Scientific","05-408-129","1.5","10.8","40.6","500","148.4","0.2968","https://www.fishersci.com/shop/products/fisherbrand-premium-microcentrifuge-tubes-1-5ml-natural-1-5ml-o-d-x-l-10-8-x-40-6mm/05408129"
"Fisher Scientific","05-408-130","1.5","10.8","40.6","500","143.4","0.2868","https://www.fishersci.com/shop/products/fisherbrand-premium-microcentrifuge-tubes-1-5ml-9/05408130#?keyword=05-408-130"
"Fisher Scientific","05-408-132","1.5","10.8","40.6","500","144.4","0.2888","https://www.fishersci.com/shop/products/fisherbrand-premium-microcentrifuge-tubes-1-5ml-9/05408132?crossRef=05-408-132#?keyword=05-408-132"
"Fisher Scientific","05-408-133","1.5","10.8","40.6","500","143.4","0.2868","https://www.fishersci.com/shop/products/fisherbrand-premium-microcentrifuge-tubes-1-5ml-9/05408133?crossRef=05-408-132#?keyword=05-408-132"
"Fisher Scientific","05-408-131","1.5","10.8","40.6","500","142.3","0.2846","https://www.fishersci.com/shop/products/fisherbrand-premium-microcentrifuge-tubes-1-5ml-9/05408131?crossRef=05-408-134#?keyword=05-408-134"
"Fisher Scientific","05-408-134","1.5","10.8","40.6","500","146.4","0.2928","https://www.fishersci.com/shop/products/fisherbrand-premium-microcentrifuge-tubes-1-5ml-9/05408134?crossRef=05-408-134#?keyword=05-408-134"
"Fisher Scientific","05-408-135","1.5","10.8","40.6","500","146.6","0.2932","https://www.fishersci.com/shop/products/fisherbrand-premium-microcentrifuge-tubes-1-5ml-9/05408135?crossRef=05-408-134#?keyword=05-408-134"
"Fisher Scientific","05-408-136","1.5","10.8","40.6","500","143.4","0.2868","https://www.fishersci.com/shop/products/fisherbrand-premium-microcentrifuge-tubes-1-5ml-9/05408136?crossRef=05-408-132#?keyword=05-408-132"
"Fisher Scientific","05-408-137","1.5","10.8","40.6","500","144.4","0.2888","https://www.fishersci.com/shop/products/fisherbrand-premium-microcentrifuge-tubes-1-5ml-9/05408137#?keyword=05-408-137"
"VWR","MFLX02550-07","1.5","11","40","500","19.7","0.0394","https://www.vwr.com/us/en/product/NA5139841/eppendorf-flex-tubes-tubes"
"VWR","MFLX07904-38","1.5","11","41","500","36.05","0.0721","https://us.vwr.com/store/item/NA5139965/brand-microcentrifuge-tubes-brandtech"
"VWR","MFLX04395-57","1.5","11","41","500","40.94","0.08188","https://us.vwr.com/store/item/NA5139874/argos-technologies-caplocktm-microcentrifuge-tubes"
"VWR","10025-720","1.5","11","41","500","89.46","0.17892","https://www.vwr.com/us/en/product/12134815/vwr-standard-line-microcentrifuge-tubes-pp"
